Year,ECD3_bp,CO2 (ppmv)
1888,136.60553327000002,294.34178746728605
1886,138.39987096999994,288.1157636999787
1885,139.8200999999999,289.2265988139854
1884,140.2085275699999,289.7624132149648
1883,141.07764627999995,292.46393479402104
1880,144.04941602000008,287.7707291897673
1877,147.09478323000008,289.3281310647417
1874,150.2620196800001,291.5581974658393
1873,151.17362217000004,286.6550967370638
1871,153.95531419999998,286.32578146070443
1870,154.3438782799999,287.9864944292303
1869,155.58508690999997,289.53614491302415
1868,156.26960000000008,287.9922513016967
1867,157.25611204999996,285.05229227816864
1865,159.87161822999997,286.65415816058197
1863,161.02144425999995,285.3533187571561
1862,162.16551931000004,287.17456217295097
1859,165.15595858000006,286.6330756116753
1857,167.3796722699999,283.16210074754474
1855,169.28161881999995,285.56557722684016
1854,170.29172496,288.05443747992655
