Year,ECD3_bp,temp_anomaly,CO2 (ppmv),CH4_ppb
-155081,157105,-8.77,189.2736,412.57142857142856
-155199,157223,-8.64,189.2584,409.42857142857144
-155316,157340,-9.52,189.2432,406.2857142857143
-155441,157465,-9.16,189.228,403.14285714285717
-155481,157505,-8.715,189.2128,400.0
-155563,157587,-8.27,189.1976,401.6666666666667
-155677,157701,-8.41,189.1824,403.3333333333333
-155791,157815,-8.82,189.1672,405.0
-155905,157929,-8.48,189.152,406.6666666666667
-156021,158045,-9.04,189.1368,408.3333333333333
-156047,158071,-8.995,189.1216,410.0
-156141,158165,-8.95,189.1064,409.5
-156242,158266,-9.02,189.0912,409.0
-156342,158366,-9.73,189.076,408.5
-156446,158470,-9.07,189.0608,408.0
-156546,158570,-8.11,189.0456,407.5
-156570,158594,-8.015,189.0304,407.0
-156657,158681,-7.92,189.0152,412.5
-156716,158740,-7.745,189.0,418.0
-156762,158786,-7.57,188.75,423.5
-156863,158887,-7.29,188.5,429.0
-156961,158985,-6.06,188.25,434.5
-157048,159072,-6.289999999999999,188.0,440.0
-157060,159084,-6.52,187.75,434.5
-157154,159178,-5.74,187.5,429.0
-157250,159274,-6.86,187.25,423.5
-157348,159372,-7.49,187.0,418.0
-157436,159460,-6.99,186.75,412.5
-157526,159550,-6.96,186.5,407.0
-157540,159564,-6.93,186.25,408.0
-157638,159662,-7.3,186.0,409.0
-157741,159765,-7.38,185.75,410.0
-157766,159790,-7.48,185.5,411.0
-157845,159869,-7.58,185.83333333333334,412.0
-157947,159971,-7.96,186.16666666666666,413.0
-158052,160076,-7.46,186.5,414.0
-158058,160082,-7.465,186.83333333333334,415.0
-158156,160180,-7.47,187.16666666666666,414.2857142857143
-158204,160228,-7.43,187.5,413.57142857142856
-158258,160282,-7.39,187.9,412.85714285714283
-158373,160397,-7.7,188.3,412.14285714285717
-158482,160506,-7.57,188.7,411.42857142857144
-158589,160613,-7.57,189.1,410.7142857142857
-158661,160685,-7.87,189.5,410.0
-158693,160717,-8.17,189.9,411.75
-158806,160830,-8.02,190.3,413.5
-158917,160941,-8.1,190.7,415.25
-159030,161054,-8.23,191.1,417.0
-159147,161171,-8.0,191.5,418.75
-159260,161284,-9.04,191.9,420.5
-159379,161403,-8.87,192.3,422.25
-159389,161413,-8.5,192.7,424.0
-159493,161517,-8.13,193.1,421.8
-159608,161632,-7.24,193.5,419.6
-159712,161736,-6.93,193.9,417.4
-159813,161837,-7.54,194.3,415.2
-159840,161864,-7.135,194.70000000000002,413.0
-159926,161950,-6.73,195.1,417.8333333333333
-160024,162048,-6.62,195.5,422.6666666666667
-160126,162150,-6.39,195.9,427.5
-160227,162251,-6.47,196.3,432.3333333333333
-160327,162351,-6.21,196.70000000000002,437.1666666666667
-160371,162395,-6.5600000000000005,197.1,442.0
-160425,162449,-6.91,197.5,436.8333333333333
-160525,162549,-6.17,197.9,431.6666666666667
-160620,162644,-7.32,198.3,426.5
-160721,162745,-7.82,198.70000000000002,421.3333333333333
-160824,162848,-6.83,199.1,416.1666666666667
-160896,162920,-6.9,199.5,411.0
-160927,162951,-6.97,199.9,412.0
-161029,163053,-6.88,200.3,413.0
-161130,163154,-6.92,200.70000000000002,414.0
-161232,163256,-7.45,201.10000000000002,415.0
-161339,163363,-7.12,201.5,416.0
-161415,163439,-7.85,201.9,417.0
-161443,163467,-8.58,202.3,414.0
-161555,163579,-8.52,202.70000000000002,411.0
-161672,163696,-7.4,203.10000000000002,408.0
-161780,163804,-7.12,203.5,405.0
-161885,163909,-8.4,203.9,402.0
-161908,163932,-8.84,204.3,399.0
-162002,164026,-9.28,203.0,396.0
-162024,164048,-9.105,201.70000000000002,393.0
-162124,164148,-8.93,200.4,391.5
-162247,164271,-9.49,199.1,390.0
-162377,164401,-9.12,197.8,388.5
-162384,164408,-8.75,196.5,387.0
-162503,164527,-8.38,196.2421052631579,385.5
-162599,164623,-8.5,195.9842105263158,384.0
-162621,164645,-8.62,195.7263157894737,390.6666666666667
-162742,164766,-8.75,195.46842105263158,397.3333333333333
-162863,164887,-8.54,195.21052631578948,404.0
-162983,165007,-8.25,194.95263157894738,410.6666666666667
-163100,165124,-9.19,194.69473684210527,417.3333333333333
-163198,165222,-9.055,194.43684210526317,424.0
-163226,165250,-8.92,194.17894736842106,425.5
-163347,165371,-8.64,193.92105263157893,427.0
-163467,165491,-7.77,193.66315789473683,428.5
-163579,165603,-8.19,193.40526315789472,430.0
-163696,165720,-8.73,193.14736842105262,431.5
-163783,165807,-8.56,192.88947368421051,433.0
-163817,165841,-8.39,192.6315789473684,435.2857142857143
-163936,165960,-8.19,192.3736842105263,437.57142857142856
-164052,166076,-8.0,192.1157894736842,439.85714285714283
-164168,166192,-9.08,191.8578947368421,442.14285714285717
-164193,166217,-8.809999999999999,191.6,444.42857142857144
-164294,166318,-8.54,191.38571428571427,446.7142857142857
-164360,166384,-8.344999999999999,191.17142857142858,449.0
-164408,166432,-8.15,190.95714285714286,453.2857142857143
-164523,166547,-7.63,190.74285714285713,457.57142857142856
-164635,166659,-8.6,190.5285714285714,461.85714285714283
-164755,166779,-8.34,190.31428571428572,466.14285714285717
-164834,166858,-8.61,190.1,470.42857142857144
-164874,166898,-8.88,189.83846153846153,474.7142857142857
-164957,166981,-8.13,189.57692307692307,479.0
-164991,167015,-7.38,189.3153846153846,481.2857142857143
-165100,167124,-7.61,189.05384615384614,483.57142857142856
-165210,167234,-7.54,188.79230769230767,485.85714285714283
-165320,167344,-7.56,188.5307692307692,488.14285714285717
-165430,167454,-7.34,188.26923076923077,490.42857142857144
-165531,167555,-6.98,188.0076923076923,492.7142857142857
-165540,167564,-7.465,187.74615384615385,495.0
-165636,167660,-7.95,187.48461538461538,495.1666666666667
-165750,167774,-7.41,187.22307692307692,495.3333333333333
-165859,167883,-7.16,186.96153846153845,495.5
-165964,167988,-6.74,186.7,495.6666666666667
-165965,167989,-6.32,186.45833333333331,495.8333333333333
-166061,168085,-6.555,186.21666666666667,496.0
-166065,168089,-6.79,185.975,487.5
-166166,168190,-6.06,185.73333333333332,479.0
-166263,168287,-5.83,185.49166666666667,470.5
-166358,168382,-6.76,185.25,462.0
-166463,168487,-7.09,185.00833333333333,453.5
-166542,168566,-6.775,184.76666666666668,445.0
-166565,168589,-6.46,184.525,449.7142857142857
-166666,168690,-6.68,184.28333333333333,454.42857142857144
-166769,168793,-8.14,184.04166666666669,459.14285714285717
-166795,168819,-8.015,183.8,463.85714285714283
-166880,168904,-7.89,185.22222222222223,468.57142857142856
-166987,169011,-6.46,186.64444444444445,473.2857142857143
-167051,169075,-6.52,188.06666666666666,478.0
-167087,169111,-6.58,189.48888888888888,472.85714285714283
-167188,169212,-6.49,190.91111111111113,467.7142857142857
-167289,169313,-6.79,192.33333333333334,462.57142857142856
-167392,169416,-7.53,193.75555555555556,457.42857142857144
-167503,169527,-7.63,195.17777777777778,452.2857142857143
-167564,169588,-7.6,196.6,447.1428571428571
