Year,ECD3_bp,CH4_ppb
-50399,52423,567
-50582,52606,543
-50864,52888,529
-51039,53063,530
-51249,53273,535
-51482,53506,513
-51739,53763,438
-51922,53946,438
-52150,54174,437
-52453,54477,462
-52881,54905,476
-53135,55159,514
-53338,55362,461
-53642,55666,466
-53846,55870,534
-53857,55881,483
-54366,56390,546
-54642,56666,550
-54840,56864,543
-54893,56917,554
-55306,57330,542
-55586,57610,515
-55771,57795,520
-56043,58067,561
-56208,58232,554
-56441,58465,502
-56660,58684,523
-56930,58954,454
-57104,59128,442
-57416,59440,435
-57640,59664,425
-57915,59939,443
-58099,60123,426
-58391,60415,430
-58598,60622,425
-58862,60886,412
-58898,60922,437
-59101,61125,432
-59697,61721,431
-60007,62031,439
-60252,62276,430
-60606,62630,444
-60869,62893,444
-61253,63277,468
-61482,63506,484
-61817,63841,489
-62067,64091,434
-62400,64424,440
-62704,64728,462
-63034,65058,461
-63309,65333,457
-63665,65689,476
-63976,66000,444
-64305,66329,461
-64539,66563,449
-64868,66892,459
-65126,67150,453
-65482,67506,471
-65782,67806,480
-66086,68110,451
-66329,68353,456
-66734,68758,474
-67026,69050,460
-67410,69434,462
-67636,69660,450
-67983,70007,490
-68221,70245,473
-68495,70519,470
-68683,70707,475
-68916,70940,482
-69148,71172,449
-69403,71427,431
-69661,71685,432
-69941,71965,432
-70259,72283,457
-70579,72603,453
-70904,72928,448
-71175,73199,452
-71483,73507,451
-71735,73759,461
-71966,73990,469
-72207,74231,467
-72441,74465,477
-72681,74705,461
-72935,74959,416
-73189,75213,415
-73475,75499,424
-73762,75786,438
-74022,76046,422
-74291,76315,466
-74579,76603,442
-74846,76870,442
-75106,77130,472
-75367,77391,475
-75644,77668,450
-75935,77959,463
-76200,78224,477
-76416,78440,487
-76696,78720,497
-76961,78985,512
-77197,79221,515
-77448,79472,515
-77676,79700,536
-77924,79948,563
-78154,80178,535
-78372,80396,550
-78620,80644,549
-78852,80876,548
-79126,81150,584
-79334,81358,576
-79574,81598,595
-79791,81815,571
-80033,82057,606
-80262,82286,617
-80468,82492,616
-80690,82714,622
-80916,82940,629
-81117,83141,631
-81327,83351,560
-81561,83585,515
-81789,83813,485
-82022,84046,465
-82275,84299,464
-82511,84535,445
-82751,84775,450
-82999,85023,443
-83255,85279,452
-83491,85515,454
-83816,85840,429
-83996,86020,425
-84258,86282,468
-84522,86546,429
-84776,86800,448
-85054,87078,446
-85390,87414,480
-85664,87688,507
-85951,87975,502
-86251,88275,508
-86559,88583,501
-86828,88852,494
-87111,89135,494
-87372,89396,476
-87631,89655,463
-88164,90188,445
-88450,90474,447
-88744,90768,461
-89012,91036,437
-89288,91312,432
-89602,91626,448
-89847,91871,447
-90113,92137,437
-90396,92420,437
-90662,92686,442
-90942,92966,439
-91481,93505,436
-91733,93757,442
-91991,94015,434
-92248,94272,454
-92507,94531,436
-92751,94775,453
-93013,95037,442
-93286,95310,435
-93538,95562,453
-93809,95833,464
-94071,96095,486
-94348,96372,479
-94607,96631,495
-94876,96900,501
-95135,97159,491
-95396,97420,487
-95672,97696,505
-95934,97958,506
-96195,98219,511
-96443,98467,512
-96716,98740,524
-96992,99016,526
-97273,99297,526
-97542,99566,525
-97805,99829,530
-98074,100098,530
-98379,100403,547
-98669,100693,537
-98949,100973,547
-99219,101243,538
-99481,101505,542
-99741,101765,511
-100072,102096,491
-100295,102319,509
-100592,102616,472
-100893,102917,470
-101207,103231,498
-101508,103532,515
-101837,103861,559
-102154,104178,573
-102470,104494,581
-102774,104798,602
-103084,105108,596
-103414,105438,572
-103749,105773,618
-104042,106066,601
-104326,106350,595
-104598,106622,591
-104899,106923,483
-105207,107231,445
-105530,107554,460
-105868,107892,464
-106235,108259,475
-106627,108651,486
-107012,109036,508
-107361,109385,495
-107699,109723,509
-108043,110067,502
-108380,110404,505
-108720,110744,492
-109032,111056,496
-109359,111383,473
-109699,111723,474
-110035,112059,456
-110361,112385,455
-110683,112707,464
-111003,113027,467
-111384,113408,451
-111646,113670,471
-111937,113961,471
-112506,114530,473
-112779,114803,474
-113052,115076,472
-113315,115339,501
-113586,115610,496
-113863,115887,501
-114123,116147,495
-114388,116412,504
-114649,116673,528
-114892,116916,544
-115145,117169,533
-115390,117414,546
-115866,117890,548
-116086,118110,545
-116319,118343,579
-116559,118583,565
-116794,118818,578
-117013,119037,579
-117290,119314,591
-117462,119486,567
-117679,119703,571
-117892,119916,566
-118120,120144,576
-118323,120347,568
-118547,120571,591
-118763,120787,613
-118965,120989,598
-119173,121197,601
-119384,121408,613
-119586,121610,610
-119792,121816,603
-119997,122021,609
-120211,122235,607
-120407,122431,608
-120605,122629,599
-120817,122841,607
-121053,123077,607
-121232,123256,608
-121438,123462,615
-121639,123663,616
-121850,123874,611
-122048,124072,614
-122243,124267,621
-122440,124464,622
-122704,124728,632
-122872,124896,627
-123071,125095,642
-123275,125299,642
-123486,125510,647
-123684,125708,656
-123915,125939,658
-124109,126133,650
-124322,126346,660
-124537,126561,640
-124729,126753,651
-124906,126930,650
-125080,127104,646
-125278,127302,670
-125471,127495,677
-125646,127670,681
-125687,127711,679
-125824,127848,692
-125983,128007,706
-126158,128182,715
-126320,128344,704
-126473,128497,722
-126635,128659,726
-126800,128824,644
-126971,128995,535
-127147,129171,537
-127324,129348,552
-127495,129519,551
-127679,129703,531
-127856,129880,515
-128061,130085,512
-128283,130307,499
-128459,130483,521
-128690,130714,518
-128925,130949,487
-129163,131187,493
-129401,131425,494
-129674,131698,479
-129956,131980,456
-130258,132282,461
-130596,132620,462
-130926,132950,460
-131289,133313,449
-131653,133677,506
-132034,134058,428
-132439,134463,436
-132850,134874,415
-133352,135376,404
-133853,135877,382
-134422,136446,409
-134856,136880,375
-135575,137599,395
-135869,137893,395
-136501,138525,406
-136919,138943,368
-137455,139479,432
-138021,140045,358
-138568,140592,342
-139125,141149,349
-139668,141692,359
-140217,142241,368
-140827,142851,375
-141260,143284,385
-141849,143873,401
-142352,144376,401
-142884,144908,375
-143449,145473,391
-144079,146103,402
-144483,146507,410
-145098,147122,421
-145559,147583,423
-146084,148108,471
-146632,148656,428
-147240,149264,433
-147686,149710,441
-148176,150200,404
-148698,150722,400
-149233,151257,432
-149765,151789,422
-150411,152435,426
-150831,152855,413
-151388,153412,402
-151972,153996,403
-152515,154539,393
-153072,155096,385
-153615,155639,407
-154208,156232,399
-154833,156857,422
-155481,157505,400
-156047,158071,410
-156570,158594,407
-157048,159072,440
-157526,159550,407
-158058,160082,415
-158661,160685,410
-159389,161413,424
-159840,161864,413
-160371,162395,442
-160896,162920,411
-161415,163439,417
-162024,164048,393
-162599,164623,384
-163198,165222,424
-163783,165807,433
-164360,166384,449
-164957,166981,479
-165540,167564,495
-166061,168085,496
-166542,168566,445
-167051,169075,478
-167603,169627,442
-168213,170237,448
-168816,170840,484
-169397,171421,480
-170480,172504,433
-171189,173213,456
-171683,173707,427
-172236,174260,457
-172789,174813,471
-173391,175415,466
-174079,176103,499
-174724,176748,547
-175301,177325,550
-175828,177852,542
-176471,178495,479
-176969,178993,483
-177627,179651,452
-178270,180294,490
-179069,181093,496
-179614,181638,496
-180323,182347,528
-180965,182989,530
-181766,183790,532
-182258,184282,514
-182905,184929,476
-183593,185617,459
-184256,186280,447
-184962,186986,437
-185466,187490,446
-185981,188005,462
-186547,188571,425
-187073,189097,423
-187651,189675,432
-188309,190333,470
-189120,191144,471
-189652,191676,496
-190150,192174,512
-190742,192766,503
-191329,193353,493
-191965,193989,472
-192550,194574,488
-193113,195137,530
-193655,195679,534
-194154,196178,548
-194666,196690,564
-195165,197189,589
-195632,197656,579
-196086,198110,598
-196515,198539,609
-196954,198978,668
-197400,199424,627
-198398,200422,539
-198791,200815,530
-199344,201368,539
-199709,201733,541
-200213,202237,466
-200726,202750,489
-201302,203326,436
-201847,203871,493
-202401,204425,462
-202936,204960,488
-203426,205450,490
-203932,205956,506
-204401,206425,487
-204902,206926,499
-205390,207414,513
-205836,207860,504
-206403,208427,515
-206763,208787,511
-207203,209227,532
-207663,209687,548
-208103,210127,565
-208528,210552,558
-208954,210978,579
-209400,211424,593
-209852,211876,577
-210311,212335,583
-210742,212766,586
-211179,213203,573
-211638,213662,574
-212102,214126,591
-212569,214593,561
-213015,215039,569
-213481,215505,506
-213965,215989,457
-214452,216476,480
-214990,217014,454
-215216,217240,443
-215456,217480,452
-215692,217716,445
-215817,217841,453
-216218,218242,460
-216475,218499,495
-216733,218757,461
-216998,219022,469
-217266,219290,489
-217543,219567,508
-217825,219849,538
-218115,220139,477
-218426,220450,484
-218729,220753,491
-219038,221062,488
-219374,221398,501
-219694,221718,495
-220035,222059,504
-220338,222362,528
-220629,222653,519
-220979,223003,543
-221316,223340,489
-221652,223676,464
-221918,223942,504
-222382,224406,476
-222737,224761,496
-222950,224974,516
-223956,225980,556
-224306,226330,532
-224587,226611,547
-224763,226787,547
-225235,227259,503
-225582,227606,504
-225938,227962,491
-226297,228321,517
-226642,228666,490
-226992,229016,471
-227311,229335,473
-227471,229495,464
-227927,229951,474
-228231,230255,506
-228572,230596,456
-228914,230938,417
-229260,231284,429
-229455,231479,431
-229894,231918,429
-230185,232209,433
-230484,232508,440
-230811,232835,434
-231103,233127,419
-231377,233401,429
-231643,233667,457
-231924,233948,430
-232199,234223,426
-232481,234505,433
-232731,234755,453
-232987,235011,519
-233128,235152,462
-233477,235501,478
-233742,235766,499
-233970,235994,508
-234151,236175,481
-234440,236464,512
-234661,236685,518
-234912,236936,529
-235042,237066,554
-235158,237182,543
-235359,237383,545
-235482,237506,548
-235815,237839,539
-235924,237948,565
-236031,238055,557
-236159,238183,554
-236368,238392,566
-236465,238489,550
-236691,238715,549
-236804,238828,588
-236898,238922,549
-236998,239022,559
-237099,239123,565
-237204,239228,579
-237318,239342,564
-237540,239564,566
-237624,239648,577
-237711,239735,562
-237885,239909,594
-237984,240008,597
-238077,240101,592
-238263,240287,601
-238353,240377,606
-238441,240465,599
-238629,240653,609
-238721,240745,616
-238811,240835,616
-238987,241011,611
-239075,241099,627
-239154,241178,623
-239329,241353,641
-239428,241452,661
-239667,241691,648
-239740,241764,667
-239804,241828,653
-239957,241981,673
-240027,242051,696
-240096,242120,680
-240248,242272,594
-240328,242352,523
-240406,242430,539
-240560,242584,521
-240647,242671,515
-240723,242747,519
-240883,242907,525
-240973,242997,542
-241396,243420,538
-241488,243512,558
-241756,243780,546
-241972,243996,541
-242205,244229,528
-242435,244459,528
-242660,244684,523
-242900,244924,519
-243130,245154,502
-243272,245296,503
-243645,245669,494
-243934,245958,475
-244243,246267,486
-244582,246606,513
-244934,246958,508
-245123,247147,545
-245613,247637,525
-245911,247935,525
-246088,248112,540
-246578,248602,473
-246901,248925,466
-247229,249253,408
-247596,249620,410
-247957,249981,413
-248311,250335,408
-248670,250694,432
-249782,251806,401
-250207,252231,395
-250592,252616,396
-250980,253004,401
-251351,253375,398
-251738,253762,426
-251959,253983,427
-252492,254516,420
-252837,254861,405
-253204,255228,442
-253597,255621,422
-254016,256040,448
-254350,256374,475
-254743,256767,466
-255128,257152,483
-255490,257514,465
-255672,257696,450
-256213,258237,493
-256562,258586,510
-256941,258965,496
-257329,259353,430
-257721,259745,473
-258067,260091,451
-258456,260480,434
-258849,260873,456
-259207,261231,452
-259609,261633,424
-259998,262022,443
-260387,262411,480
-260795,262819,482
-261191,263215,509
-261512,263536,462
-261893,263917,414
-262273,264297,417
-262645,264669,398
-263028,265052,415
-263419,265443,412
-263843,265867,422
-264280,266304,417
-264679,266703,384
-265118,267142,425
-265567,267591,414
-266005,268029,418
-266446,268470,454
-266898,268922,423
-267348,269372,454
-267593,269617,439
-268252,270276,460
-268698,270722,441
-269167,271191,458
-269657,271681,453
-269882,271906,445
-270562,272586,470
-270833,272857,451
-271553,273577,483
-271998,274022,467
-272466,274490,463
-272934,274958,475
-273408,275432,455
-273874,275898,479
-274320,276344,504
-274724,276748,467
-275151,277175,452
-275599,277623,480
-275845,277869,466
-276506,278530,428
-276760,278784,438
-277363,279387,420
-277818,279842,463
-278197,280221,455
-278396,280420,473
-278943,280967,462
-279352,281376,448
-279782,281806,457
-280171,282195,468
-280561,282585,425
-280941,282965,453
-281303,283327,471
-281661,283685,499
-282036,284060,509
-282416,284440,465
-282783,284807,477
-283120,285144,457
-283481,285505,470
-283839,285863,486
-284186,286210,495
-284545,286569,500
-284888,286912,507
-285209,287233,520
-285545,287569,529
-285877,287901,514
-286176,288200,521
-286532,288556,511
-286883,288907,532
-287241,289265,530
-287575,289599,531
-287901,289925,547
-288218,290242,524
-289279,291303,454
-289683,291707,459
-290079,292103,448
-290438,292462,453
-290818,292842,444
-291009,293033,454
-291676,293700,482
-291916,293940,521
-292584,294608,489
-292845,294869,501
-293508,295532,552
-293715,295739,564
-294308,296332,587
-294516,296540,524
-295110,297134,488
-295315,297339,505
-295995,298019,467
-296235,298259,491
-296943,298967,519
-297141,299165,518
-297788,299812,496
-298172,300196,518
-298372,300396,520
-298971,300995,459
-299192,301216,487
-299874,301898,453
-300106,302130,453
-300667,302691,456
-300898,302922,462
-301482,303506,466
-301687,303711,477
-302312,304336,491
-302522,304546,490
-303097,305121,498
-303287,305311,505
-303852,305876,451
-304054,306078,449
-304688,306712,459
-304919,306943,485
-305606,307630,459
-305845,307869,466
-306500,308524,478
-306720,308744,509
-307372,309396,467
-307610,309634,460
-308246,310270,461
-308483,310507,493
-309077,311101,470
-309283,311307,517
-309912,311936,515
-310101,312125,516
-310723,312747,522
-310920,312944,540
-311436,313460,548
-311601,313625,568
-312160,314184,553
-312348,314372,634
-312905,314929,618
-313095,315119,606
-313615,315639,598
-313813,315837,635
-314339,316363,607
-314522,316546,515
-315077,317101,465
-315280,317304,459
-315851,317875,445
-316059,318083,480
-316670,318694,481
-316887,318911,479
-317511,319535,478
-317715,319739,480
-318318,320342,498
-318522,320546,503
-319073,321097,521
-319264,321288,529
-319781,321805,519
-319960,321984,528
-320456,322480,519
-320626,322650,533
-321114,323138,544
-321278,323302,557
-321722,323746,593
-321863,323887,568
-322291,324315,580
-322459,324483,590
-322891,324915,612
-323047,325071,617
-323467,325491,626
-323605,325629,644
-324000,326024,633
-324148,326172,635
-324537,326561,611
-324673,326697,634
-325077,327101,644
-325219,327243,654
-325613,327637,642
-325751,327775,662
-326132,328156,657
-326792,328816,669
-327229,329253,636
-327376,329400,658
-327777,329801,643
-327920,329944,663
-328292,330316,621
-328431,330455,637
-328805,330829,615
-328950,330974,637
-329338,331362,636
-329475,331499,649
-329832,331856,673
-330090,332114,721
-330199,332223,726
-330507,332531,738
-330626,332650,776
-330925,332949,798
-331038,333062,797
-331334,333358,599
-331554,333578,590
-331768,333792,604
-331889,333913,607
-332194,334218,631
-332336,334360,652
-332687,334711,581
-332828,334852,597
-333212,335236,570
-333360,335384,566
-333798,335822,537
-333996,336020,531
-334493,336517,496
-334702,336726,504
-335237,337261,486
-335464,337488,486
-336151,338175,453
-336615,338639,445
-336657,338681,445
-337172,339196,465
-337447,339471,460
-338260,340284,449
-338576,340600,439
-339541,341565,395
-339890,341914,394
-340886,342910,370
-341471,343495,366
-342161,344185,375
-342533,344557,368
-343401,345425,374
-343729,345753,389
-344658,346682,391
-345254,347278,417
-345902,347926,403
-346223,348247,421
-347096,349120,459
-347396,349420,407
-348219,350243,392
-348506,350530,402
-349476,351500,414
-349809,351833,403
-350696,352720,397
-351272,353296,405
-351894,353918,395
-352586,354610,406
-353255,355279,403
-353892,355916,404
-354554,356578,420
-355244,357268,435
-355907,357931,431
-356624,358648,417
-357252,359276,418
-357913,359937,456
-358563,360587,415
-359272,361296,420
-359892,361916,466
-360491,362515,433
-361093,363117,487
-361699,363723,413
-362319,364343,449
-362992,365016,416
-363627,365651,460
-364256,366280,416
-364900,366924,403
-365481,367505,460
-366124,368148,422
-366788,368812,422
-367374,369398,444
-367967,369991,518
-368547,370571,508
-369184,371208,491
-369813,371837,502
-370378,372402,523
-370943,372967,540
-371517,373541,451
-372142,374166,445
-372835,374859,426
-373501,375525,426
-374156,376180,433
-374756,376780,445
-375380,377404,442
-377169,379193,494
-377757,379781,485
-378306,380330,548
-378913,380937,544
-379473,381497,548
-380005,382029,601
-380597,382621,587
-381175,383199,482
-381763,383787,536
-382341,384365,561
-382907,384931,553
-383502,385526,577
-384080,386104,594
-384665,386689,637
-385228,387252,531
-385818,387842,463
-386472,388496,452
-387165,389189,472
-387821,389845,568
-388440,390464,525
-389025,391049,506
-389582,391606,488
-390195,392219,489
-390716,392740,498
-391243,393267,485
-391749,393773,562
