,Year,ECD3_bp,temp,temp_anomality
82,1263,760.6481,-56.349999999999966,-0.578105967774377
83,1249,774.6882,-56.24999999999997,-0.47810596777438263
84,1234,789.2436,-56.74999999999997,-0.9781059677743826
85,1220,803.5808,-57.14999999999998,-1.3781059677743883
86,1205,818.6373,-56.64999999999998,-0.8781059677743883
87,1190,833.2383,-55.849999999999966,-0.07810596777437695
88,1177,846.3893,-55.94999999999999,-0.1781059677743997
89,1164,859.8553,-55.44999999999999,0.3218940322256003
90,1151,872.9567,-55.74999999999997,0.021894032225617366
91,1137,886.1401,-55.14999999999998,0.6218940322256117
92,1125,898.3588,-54.849999999999966,0.921894032225623
93,1113,910.5675,-54.54999999999998,1.221894032225606
94,1101,922.7663,-54.24999999999997,1.5218940322256174
95,1088,935.5453,-56.74999999999997,-0.9781059677743826
96,1074,949.4421,-55.14999999999998,0.6218940322256117
97,1060,963.3285,-57.14999999999998,-1.3781059677743883
98,1046,977.5693,-54.849999999999966,0.921894032225623
99,1032,991.8998,-56.74999999999997,-0.9781059677743826
100,1017,1006.2836,-56.44999999999999,-0.6781059677743997
101,1002,1021.0249,-56.24999999999997,-0.47810596777438263
102,989,1034.9822,-56.44999999999999,-0.6781059677743997
103,974,1049.4281999999998,-55.349999999999966,0.42189403222562305
104,960,1063.8635,-56.14999999999998,-0.3781059677743883
105,945,1078.288,-56.14999999999998,-0.3781059677743883
106,931,1092.508,-56.64999999999998,-0.8781059677743883
107,917,1106.268,-55.54999999999998,0.221894032225606
108,903,1120.723,-54.74999999999997,1.0218940322256174
109,889,1134.862,-55.349999999999966,0.42189403222562305
110,874,1149.176,-56.44999999999999,-0.6781059677743997
111,860,1163.481,-56.54999999999998,-0.778105967774394
112,845,1178.135,-55.04999999999998,0.721894032225606
