Year,1,2,3,4,5,6,7,8,9,10,11,12,Year_meanR,Rain_Anomaly
1961,156.4,93.5,21.9,135.6,52.1,48.1,81.3,71.7,123.4,118.3,76.3,89.5,89.00833333333333,-1.339166666666685
1962,127.4,47.0,89.7,64.5,77.2,46.1,70.6,112.1,145.9,52.7,80.7,102.9,84.73333333333333,-5.6141666666666765
1963,29.2,67.0,142.0,77.4,69.9,70.3,70.8,103.8,66.1,129.9,170.6,52.3,87.44166666666666,-2.905833333333348
1964,43.1,64.5,130.6,72.7,79.7,82.1,72.1,110.8,75.4,109.3,71.5,142.5,87.8583333333333,-2.489166666666705
1965,139.4,9.8,95.8,81.1,82.3,104.3,86.4,93.8,96.1,68.7,161.1,159.7,98.20833333333333,7.860833333333318
1966,116.5,173.8,57.8,143.2,87.5,104.0,51.7,80.6,83.9,146.4,72.4,121.4,103.2666666666667,12.919166666666683
1967,84.6,109.3,64.7,37.3,132.5,29.8,83.2,97.8,134.9,171.3,80.7,74.9,91.75,1.4024999999999892
1968,121.4,38.7,76.0,73.8,64.4,66.1,37.0,77.1,144.2,129.5,125.5,150.3,92.0,1.6524999999999892
1969,174.2,59.4,52.9,65.9,94.2,68.7,45.5,54.4,45.4,51.9,110.6,116.9,78.33333333333333,-12.014166666666682
1970,127.8,114.6,57.6,89.1,32.0,50.1,91.6,76.6,110.6,81.2,165.8,56.1,87.75833333333334,-2.589166666666671
1971,102.1,59.2,58.5,55.6,53.7,79.1,66.3,90.2,41.9,85.6,96.7,55.3,70.35000000000001,-19.997500000000002
1972,144.7,100.5,90.9,75.6,113.2,71.7,59.4,54.7,16.9,66.4,134.8,128.5,88.10833333333335,-2.2391666666666623
1973,100.7,77.4,33.9,48.1,99.5,37.4,68.2,104.9,109.8,68.2,122.3,108.4,81.56666666666666,-8.780833333333348
1974,205.1,108.1,51.9,37.4,95.7,40.5,88.5,98.1,166.2,55.1,98.8,91.6,94.75,4.402499999999989
1975,162.5,49.3,49.4,61.3,26.4,20.6,70.5,48.1,134.2,118.4,89.9,41.0,72.63333333333333,-17.714166666666685
1976,109.3,56.2,95.5,28.9,96.7,50.2,74.7,12.0,116.9,178.8,89.5,102.0,84.22500000000001,-6.122500000000002
1977,104.6,174.0,108.4,72.6,28.5,58.3,45.0,94.8,68.5,165.8,120.4,123.0,96.99166666666667,6.6441666666666634
1978,112.6,108.5,111.6,54.4,24.2,58.5,72.5,97.6,68.3,50.1,115.1,226.4,91.64999999999999,1.3024999999999807
1979,94.9,73.9,100.4,74.2,108.9,57.8,33.1,119.0,59.9,140.3,128.9,165.3,96.38333333333334,6.035833333333329
1980,117.0,118.9,105.1,25.0,35.3,84.1,95.4,106.6,136.6,144.7,108.2,117.5,99.53333333333335,9.185833333333335
1981,63.0,88.9,150.5,34.4,155.3,85.2,51.9,31.5,165.7,106.2,88.6,127.4,95.71666666666665,5.3691666666666436
1982,105.0,112.1,113.2,31.7,71.9,131.4,20.3,94.3,114.0,156.6,162.7,137.6,104.2333333333333,13.885833333333295
1983,127.0,59.4,101.3,77.6,110.0,55.6,25.5,66.8,126.1,123.0,45.0,151.7,89.08333333333333,-1.2641666666666822
1984,180.2,84.9,64.7,45.5,31.9,45.1,41.9,81.7,99.4,122.3,146.1,118.1,88.48333333333333,-1.8641666666666765
1985,78.6,73.7,107.0,69.0,87.4,79.7,87.0,191.5,97.5,59.9,92.2,124.1,95.63333333333334,5.285833333333329
1986,136.2,6.5,121.1,74.1,124.0,95.4,68.1,174.7,7.5,99.9,138.4,179.3,102.09999999999998,11.75249999999997
1987,56.0,79.7,101.6,73.6,32.2,107.6,47.5,83.7,111.0,144.5,79.1,100.7,84.76666666666667,-5.580833333333345
