Year,1,2,3,4,5,6,7,8,9,10,11,12,Year_meanR,Rain_Anomaly,Mean_temp,Temp_anomaly,ECD3_bp
2013,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,10.0,0.4499999999999993,11
2014,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,10.5,0.9499999999999993,10
2015,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,9.9,0.34999999999999964,9
2016,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,10.3,0.75,8
2017,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,10.5,0.9499999999999993,7
2018,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,10.3,0.75,6
2019,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,10.5,0.9499999999999993,5
2020,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,10.4,0.8499999999999996,4
2021,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,10.5,0.9499999999999993,3
2022,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,10.9,1.3499999999999996,2
